Santa Clara,California,3847,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/669cec94/Santa-Clara-CA
Springfield,Missouri,3828,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/88014f72/Springfield-MO
Wilmington,Delaware,3708,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/00c6b4dd/Wilmington-DE
Troy,Michigan,3612,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/fb07bc46/Troy-MI
Vancouver,Washington,3600,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/b8114719/Vancouver-WA
Alexandria,Virginia,3599,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/1b3c0c2b/Alexandria-VA
Rockville,Maryland,3544,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/4f981f7d/Rockville-MD
Overland Park,Kansas,3524,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/89f81866/Overland-Park-KS
Boca Raton,Florida,3470,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/8f944cf4/Boca-Raton-FL
Mountain View,California,3453,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/8118d2e5/Mountain-View-CA
Lincoln,Nebraska,3405,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/d6886acf/Lincoln-NE
Sunnyvale,California,3359,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/bac11311/Sunnyvale-CA
Cambridge,Massachusetts,3343,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/18110713/Cambridge-MA
St. Petersburg,Florida,3254,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/09dff5ea/St.-Petersburg-FL
Melbourne,Florida,3253,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/b1c2eb05/Melbourne-FL
Fargo,North Dakota,3095,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/b3a9840a/Fargo-ND
Sioux Falls,South Dakota,3045,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/6b7b4cc7/Sioux-Falls-SD
Fort Collins,Colorado,3039,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/8f34614d/Fort-Collins-CO
Manchester,New Hampshire,3014,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/84cd77fe/Manchester-NH
Irving,Texas,3007,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/72ad792c/Irving-TX
Kansas City,Kansas,3000,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/6c2c16ac/Kansas-City-KS
Alpharetta,Georgia,2961,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/07667298/Alpharetta-GA
Fremont,California,2943,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/0e22ec96/Fremont-CA
New Haven,Connecticut,2932,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/171169e6/New-Haven-CT
Lafayette,Louisiana,2929,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/c414d358/Lafayette-LA
Appleton,Wisconsin,2925,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/4ae134c1/Appleton-WI
Kalamazoo,Michigan,2897,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/03bf4356/Kalamazoo-MI
Roanoke,Virginia,2853,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/f180919c/Roanoke-VA
Cedar Rapids,Iowa,2610,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/392b5ddc/Cedar-Rapids-IA
Santa Rosa,California,2591,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/85302118/Santa-Rosa-CA
Santa Barbara,California,2575,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/a231966a/Santa-Barbara-CA
Columbia,Maryland,2568,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/2d539368/Columbia-MD
Redmond,Washington,2565,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/64175a97/Redmond-WA
Charlottesville,Virginia,2532,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/89774374/Charlottesville-VA
Pasadena,California,2521,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/4a09cba2/Pasadena-CA
Bethesda,Maryland,2462,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/1f6004b0/Bethesda-MD
Naperville,Illinois,2418,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/602810a0/Naperville-IL
McLean,Virginia,2362,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/e943e8a4/McLean-VA
Newport News,Virginia,2362,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/2d09ff72/Newport-News-VA
Erie,Pennsylvania,2352,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/d1cd7d57/Erie-PA
Chandler,Arizona,2259,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/0e2981b2/Chandler-AZ
Clearwater,Florida,2257,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/1c5105db/Clearwater-FL
Maryland,Maryland,2254,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/b44d80e3/Maryland-MD
Auburn Hills,Michigan,2251,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/08c6b40c/Auburn-Hills-MI
Salem,Oregon,2178,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/7a719f84/Salem-OR
Burlington,Vermont,2173,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/e6cd0895/Burlington-VT
Southfield,Michigan,2091,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/a85a92a6/Southfield-MI
Santa Monica,California,2044,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/28d1ba60/Santa-Monica-CA
Newport Beach,California,1952,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/64f13f54/Newport-Beach-CA
California City,California,1929,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/d311e333/California-City-CA
Pleasanton,California,1920,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/52e05278/Pleasanton-CA
Carlsbad,California,1919,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/073c0993/Carlsbad-CA
Silver Spring,Maryland,1910,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/69ce81d4/Silver-Spring-MD
Redwood City,California,1867,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/c86f88fe/Redwood-City-CA
San Mateo,California,1845,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/e196ee35/San-Mateo-CA
Annapolis,Maryland,1841,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/4ec3f118/Annapolis-MD
Cary,North Carolina,1813,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/2506dbb7/Cary-NC
Herndon,Virginia,1794,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/4bd6a74e/Herndon-VA
Provo,Utah,1766,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/6a06fe96/Provo-UT
Aurora,Colorado,1733,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/371bdbe7/Aurora-CO
Waltham,Massachusetts,1707,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/6856080f/Waltham-MA
Dearborn,Michigan,1680,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/86f8ffca/Dearborn-MI
Rochester,Minnesota,1680,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/1b27b507/Rochester-MN
San Luis Obispo,California,1544,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/5dcbf68d/San-Luis-Obispo-CA
Berkeley,California,1534,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/821488ed/Berkeley-CA
Gaithersburg,Maryland,1515,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/eff92dd8/Gaithersburg-MD
Champaign,Illinois,1505,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/da9ae81a/Champaign-IL
Nashua,New Hampshire,1495,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/50329126/Nashua-NH
Portsmouth,New Hampshire,1478,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/391f8f68/Portsmouth-NH
Waukesha,Wisconsin,1400,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/8fd73f93/Waukesha-WI
King of Prussia,Pennsylvania,1398,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/3d9ce97a/King-of-Prussia-PA
Hillsboro,Oregon,1377,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/d6770bfc/Hillsboro-OR
Chantilly,Virginia,1349,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/44eb9989/Chantilly-VA
Novi,Michigan,1322,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/2268100a/Novi-MI
Concord,California,1314,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/c8d4f20c/Concord-CA
Idaho Falls,Idaho,1314,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/824dee6f/Idaho-Falls-ID
Manassas,Virginia,1308,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/f4c3d484/Manassas-VA
Cupertino,California,1298,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/0749036a/Cupertino-CA
